Food,Content Range,Average,Reference
Chicory,0.000 - 107.000 mg/100 g,23.714 mg/100 g,"DUKE, DTU, HMDB, USDA"
Chinese cabbage,0.70000 - 45.00000 mg/100 g,24.425 mg/100 g,"USDA, DTU, HMDB"
Chinese cinnamon,30.900 - 30.900 mg/100 g,30.900 mg/100 g,"DUKE, HMDB"
Chinese water chestnut,17.850 - 17.850 mg/100 g,17.850 mg/100 g,"DUKE, HMDB"
Chinook salmon,0.000 - 4.000 mg/100 g,1.333 mg/100 g,USDA
Chives,0.000 - 496.600 mg/100 g,148.925 mg/100 g,"DUKE, DTU, HMDB, USDA"
Chocolate,0.000 - 0.600 mg/100 g,0.02800 mg/100 g,"DTU, USDA"
Cinnamon,3.800 - 4.500 mg/100 g,4.033 mg/100 g,"DTU, HMDB, USDA"
Clawed lobster,0.000 - 3.000 mg/100 g,0.42857 mg/100 g,"DTU, USDA"
Cloudberry,158.000 - 158.000 mg/100 g,158.000 mg/100 g,"USDA, HMDB"
Cloves,0.40000 - 81.00000 mg/100 g,40.700 mg/100 g,"DUKE, HMDB, USDA"
"Clupeinae (Herring, Sardine, Sprat)",0.000 - 0.500 mg/100 g,0.02500 mg/100 g,DTU
Cocoa bean,3.100 - 5.000 mg/100 g,4.050 mg/100 g,DUKE
Cocoa powder,0.000 - 138.000 mg/100 g,15.350 mg/100 g,"USDA, DTU"
Coconut,0.000 - 5.400 mg/100 g,1.070 mg/100 g,"DUKE, DTU, HMDB, USDA"
Coho salmon,0.000 - 1.500 mg/100 g,1.000 mg/100 g,USDA
Colorado pinyon,2.000 - 2.050 mg/100 g,2.025 mg/100 g,"DUKE, HMDB, USDA"
"Columbidae (Dove, Pigeon)",0.000 - 7.200 mg/100 g,4.750 mg/100 g,"USDA, DTU"
Common bean,0.000 - 471.650 mg/100 g,13.218 mg/100 g,"USDA, DUKE, DTU, HMDB"
Common cabbage,0.000 - 169.000 mg/100 g,35.620 mg/100 g,"USDA, DTU, HMDB"
Common carp,1.600 - 1.600 mg/100 g,1.600 mg/100 g,USDA
Common chokecherry,0.70000 - 5.50000 mg/100 g,3.100 mg/100 g,"USDA, HMDB"
Common dab,0.000 - 1.000 mg/100 g,0.50000 mg/100 g,DTU
Common grape,31.000 - 368.000 mg/100 g,144.650 mg/100 g,"DUKE, HMDB"
Common hazelnut,1.000 - 1.600,1.3,"DUKE, HMDB, USDA"
Common mushroom,0.000 - 3.090 mg/100 g,2.070 mg/100 g,"DTU, HMDB"
