Food,Content Range,Average,Reference
Cherimoya,0.00600 - 0.50000 mg/100 g,0.17200 mg/100 g,"DUKE, DTU, USDA"
Chervil,1.470 - 2.990 mg/100 g,2.230 mg/100 g,DTU
Chestnut,0.06000 - 0.06000 mg/100 g,0.06000 mg/100 g,DTU
Chickpea,0.00900 - 40.00000 mg/100 g,4.037 mg/100 g,"USDA, DUKE, DTU"
Chicory,0.000 - 3430.000 mg/100 g,860.354 mg/100 g,"DUKE, DTU, USDA"
Chinese broccoli,1032.000 - 1032.000 mg/100 g,1032.000 mg/100 g,USDA
Chinese cabbage,0.10000 - 2681.00000 mg/100 g,893.940 mg/100 g,"USDA, DTU"
Chinese chives,2612.000 - 2612.000 mg/100 g,2612.000 mg/100 g,USDA
Chinese cinnamon,0.15000 - 0.15000 mg/100 g,0.15000 mg/100 g,DUKE
Chinese mustard,0.51300 - 0.51300 mg/100 g,0.51300 mg/100 g,USDA
Chives,1.380 - 2612.000 mg/100 g,879.610 mg/100 g,"DUKE, DTU, USDA"
Chocolate,0.000 - 0.045 mg/100 g,0.03187 mg/100 g,"DTU, USDA"
Cinnamon,0.11200 - 175.00000 mg/100 g,87.556 mg/100 g,"DTU, USDA"
Cloves,0.25000 - 25.50000 mg/100 g,12.875 mg/100 g,"DUKE, USDA"
Cocoa bean,Expected but not quantified,Not Available,DUKE
Cocoa powder,0.000 - 0.040 mg/100 g,0.00450 mg/100 g,"USDA, DTU"
Common bean,0.000 - 13.895 mg/100 g,0.45673 mg/100 g,"USDA, KNAPSACK, DUKE, DTU"
Common beet,20.000 - 20.000 mg/100 g,20.000 mg/100 g,USDA
Common buckwheat,0.000 - 0.012 mg/100 g,0.00200 mg/100 g,"USDA, DTU, MANUAL"
Common cabbage,0.00800 - 5.05000 mg/100 g,0.74114 mg/100 g,"USDA, DTU"
Common chokecherry,0.02600 - 0.09000 mg/100 g,0.05800 mg/100 g,USDA
Common grape,0.13000 - 4.30000 mg/100 g,2.215 mg/100 g,DUKE
Common hazelnut,0.02000 - 10.50000 mg/100 g,5.260 mg/100 g,"DUKE, USDA"
Common mushroom,0.01000 - 0.01000 mg/100 g,0.01000 mg/100 g,DTU
Common oregano,4.300 - 205.000 mg/100 g,104.650 mg/100 g,"DUKE, USDA"
Common pea,0.000 - 1.090 mg/100 g,0.26320 mg/100 g,"USDA, DUKE, DTU"
Common sage,3.650 - 3.650 mg/100 g,3.650 mg/100 g,DUKE
Common salsify,0.01340 - 0.01340 mg/100 g,0.01340 mg/100 g,DUKE
Common thyme,2.450 - 2851.000,1705.817,"DUKE, USDA"
Common verbena,Expected but not quantified,Not Available,DUKE
Common walnut,0.05000 - 23.00000 mg/100 g,11.525 mg/100 g,"DUKE, USDA"
Common wheat,0.00500 - 0.01100 mg/100 g,0.00620 mg/100 g,"USDA, DUKE, MANUAL"
Coriander,0.000 - 1405.000 mg/100 g,284.356 mg/100 g,"DUKE, DTU, USDA"
